RMC,CCC,Cyclomatic Complexity
29.5,5.052181627,0
48.5,5.041290928,0
25,5.052405177,0
44.5,5.056855398,0
35.5,5.024351153,0
58.5,5.052543567,0
33,5.040882457,0
49.5,5.05213417,0
32,5.052957035,0
47.5,5.052334752,0
39.5,5.057123611,0
52.5,5.012503555,0
37.5,5.056777531,0
34,4.913609465,0
34,5.056639208,0
51.5,5.024075851,0
30.5,5.05705812,0
52,5.028493534,0
29,5.028701422,0
22,4.942764166,0
42.5,4.942392445,0
22,4.942771401,0
35.5,5.052718404,0
44.5,5.052030659,0
27,4.97790544,0
55,5.02425132,0
36.5,5.037314599,0
27.5,4.977906793,0
29.5,5.056758148,0
52,4.977808772,0
36,5.024065975,0
36.5,5.056749229,0
37.5,5.000116064,0
50,4.93757553,0
32.5,5.052414352,0
25.5,5.057005733,0
47.5,5.023945172,0
32.5,5.028322645,0
57.5,5.028283909,0
27,4.973266665,0
53,5.052421614,0
30,5.052415476,0
48.5,5.048363011,0
34,5.056867805,0
60,5.058336635,0
27,4.973269408,0
43,4.942901581,0
22,4.926124089,0
29,5.023955659,0
22.5,4.942432401,0
33,5.052414838,0
60,5.06216197,0
22,5.03406896,0
43.5,4.978048191,0
35.5,5.056719715,0
48.5,5.02436057,0
36.5,5.034120956,0
32,5.028322371,0
56,5.056861313,0
23,5.019643804,0
49.5,4.977970882,0
36,5.052541926,0
46.5,4.942392731,0
38.5,5.05254147,0
43.5,4.977670868,0
22,4.926476789,0
54.5,5.041381053,0
22,4.937573178,0
48,4.961711878,0
23,4.942627385,0
45.5,5.028122654,0
35.5,5.056622525,0
59,5.052424166,0
25.5,5.057126159,0
51.5,5.012761056,0
39,5.057124066,0
35.5,5.052183328,0
60.5,5.056747279,0
22,4.937573655,0
57.5,5.052550706,0
49,4.899407039,0
59.5,4.977878715,0
31.5,5.052030051,0
57.5,5.041380992,0
26,4.937690952,0
42.5,4.937662232,0
35.5,5.028488764,0
49,5.056968817,0
26,4.942392731,0
44.5,5.057003428,0
38.5,5.057006037,0
44.5,5.023808377,0
33,5.057154734,0
57,5.052419578,0
27,4.973098616,0
56,5.048403863,0
35,5.024087409,0
42.5,4.942627512,0
23.5,5.023708151,0
48.5,5.048498881,0
29.5,5.041103151,0
56.5,5.028737994,0
32.5,4.973406496,0
44.5,5.008409209,0
28.5,5.057123611,0
33,5.052521813,0
48,4.973256765,0
41.5,5.048195638,0
50,5.0411133,0
31.5,5.048197534,0
28,4.999605104,0
58,5.041381236,0
24.5,5.052418697,0
50,5.056747006,0
38,5.041788122,0
46.5,5.023945355,0
31,4.978042084,0
61,5.052541653,0
29.5,4.942392445,0
22,4.937934621,0
56,5.056723537,0
28,5.056786753,0
34.5,5.052182417,0
49.5,5.048122993,0
32,5.052399313,0
58,5.062129564,0
31,4.961480237,0
39.5,5.028200965,0
33,5.05719532,0
34.5,5.052549917,0
46.5,4.926545214,0
22,4.942451093,0
32,5.052541318,0
58.5,5.057135199,0
56.5,5.056647845,0
51,5.052413957,0
56.5,4.942392731,0
64,5.04137197,0
51,4.977690416,0
23,4.961841854,0
62,5.057003246,0
42.5,5.052279335,0
48.5,5.019643345,0
45.5,5.048489007,0
42.5,5.0477961,0
48,5.052533632,0
42.5,5.028201484,0
56.5,5.02835784,0
57.5,5.056996967,0
42.5,5.05203795,0
42.5,5.028438678,0
45.5,5.01998185,0
42.5,5.024076463,0
52.5,4.961843752,0
42.5,4.942775323,0
54,5.052398037,0
27,4.999634367,0
31.5,5.052589383,0
50,5.028497142,0
23,4.978046145,0
62,5.05241341,0
30.5,5.023945936,0
48,4.926370188,0
26,5.052417816,0
63,5.012888073,0
22,4.94276388,0
45,4.937937196,0
22.5,5.012877859,0
57.5,5.028284306,0
36,4.949006467,0
42.5,4.937934304,0
36,5.056971092,0
57,5.028246179,0
32,4.978049135,0
58,5.052176036,0
26,4.937573655,0
45.5,5.052175277,0
31.5,4.973132289,0
38.5,5.04138471,0
51.5,5.023901999,0
33.5,4.999594795,0
57,5.052541653,0
26,4.942764356,0
42.5,4.937573464,0
29.5,4.913462067,0
46.5,5.028423903,0
32,5.028490477,0
46.5,5.04177843,0
24.5,4.948635826,0
50,5.052172725,0
38.5,5.052553714,0
49,5.041006504,0
23.5,5.028624948,0
43.5,4.999972823,0
37.5,5.052421614,0
50.5,5.056637692,0
24,5.028632836,0
42.5,5.023945355,0
24.5,5.052163154,0
22,4.942764293,0
54.5,5.062289437,0
37.5,5.048910022,0
47.5,5.024251504,0
22,5.028191013,0
50,5.023954589,0
30,5.057006037,0
41,5.056755782,0
50.5,4.942392922,0
36,5.028383799,0
42.5,4.926485767,0
26,5.056867107,0
42.5,4.93756369,0
28,5.052412286,0
37.5,4.912991633,0
50.5,4.933157104,0
28.5,5.0569882,0
43.5,5.028412326,0
22,5.023954589,0
22.5,4.926242921,0
47,4.938083023,0
36,5.05681375,0
54,5.056774983,0
25,5.048132685,0
31,5.052406088,0
49.5,5.057143267,0
25,5.028565456,0
61,5.028136199,0
23,4.973259382,0
42.5,4.937944619,0
27.5,5.023698764,0
43.5,4.961846789,0
32,4.978046428,0
33.5,4.942766229,0
58,5.052050316,0
27,5.008427336,0
51,4.942392445,0
25,5.057132924,0
59,5.052176796,0
28,4.973212215,0
25,5.052160299,0
33.5,5.052551162,0
33,5.057124785,0
59,5.056999515,0
22,4.937690094,0
62,5.052551162,0
31.5,5.033619617,0
33,5.052293068,0
58,5.057005521,0
24,5.019721529,0
43.5,4.937808249,0
22.5,5.024076463,0
55,5.028261008,0
35,5.02448382,0
55,5.024599972,0
26.5,5.02831405,0
43.5,5.028562037,0
23,5.028701606,0
27.5,4.949004277,0
30.5,5.052283376,0
33,5.056996997,0
38.5,5.052598376,0
48.5,5.023708151,0
59.5,5.028692814,0
27,4.977857153,0
54,5.052175915,0
26.5,5.000105694,0
27,5.028559778,0
47,4.942550108,0
38.5,4.973269125,0
42.5,4.937689712,0
35,5.052173454,0
48.5,5.052399222,0
31,5.02370384,0
37,5.052389713,0
29,5.048139821,0
35.5,5.040890077,0
52.5,4.973236681,0
26,4.942384054,0
31.5,5.048498881,0
42.5,4.937945096,0
33,5.057001032,0
35,5.012877369,0
35.5,4.973037198,0
49.5,5.052532417,0
39.5,5.028496103,0
48.5,5.056841809,0
26,4.938354872,0
26,4.942394984,0
23,5.02357579,0
56,5.012407732,0
22,4.937993206,0
62,5.05654129,0
27,5.019749228,0
