RMC,CCC
27,4.972898187
50.5,5.05228848
38.5,5.041249905
49.5,4.972890872
33,5.052282677
50.5,5.057006037
39,5.028391106
49,5.057126311
29.5,5.052388345
42.5,5.023945478
31,5.028623144
60.5,5.028570065
30.5,4.961851154
31,5.028701422
35.5,5.000002763
48.5,5.028500475
40.5,5.052194721
44.5,5.028587282
22.5,4.913238321
34.5,5.052424166
38,5.05294157
50,5.028561304
28,5.056850445
31,5.000106371
33,4.948734968
58,5.052442577
35.5,4.961775332
43,4.938084898
28,5.052412286
57,5.041248807
39,4.961614136
47.5,5.024342561
29,5.056855125
56,5.028220808
26,4.943174413
34,4.937848429
62,5.029099902
32.5,5.028486869
49.5,5.028221566
33.5,5.052549977
58.5,5.0525446
27,5.028326705
50,5.029039918
23,5.029108498
24,5.02896667
24,5.056855125
59,5.057539702
34.5,5.020389673
44.5,4.995620444
25,4.978452585
47.5,5.024005039
30.5,5.028691135
63,5.024106794
22.5,4.94276388
54.5,5.028342213
29.5,5.041788122
28,5.04849033
48.5,5.028893767
32,5.041238536
39.5,4.978049261
57,5.000115787
24.5,5.05677744
24,5.012887613
43.5,4.977670679
24,5.052806462
45,5.028693119
35,4.97818046
54,5.057115291
40,5.028493228
22,4.913470914
43.5,4.977779291
23,4.948864577
48,4.948866957
25,5.052560307
42.5,4.938344621
31.5,5.037332793
28,5.057401773
42.5,4.942755488
26,4.913119
38.5,5.057132651
55.5,4.999727482
30.5,4.942392922
51.5,5.052551557
22,4.937680987
42.5,4.942621183
26,4.926329366
45.5,5.052421279
26,4.937562577
50,5.02855932
34,5.023719311
57,5.056652131
27,5.006325899
52,4.961688755
152.5,5.040885535
62,5.028633295
23,5.023577043
42.5,5.028507691
49.5,5.023824735
49,5.056987927
49,5.05242055
49,5.056655043
49,4.961846979
46,4.996036972
47.5,5.057155037
49,5.057133106
49,5.056764639
49,5.05255098
49,5.028693102
49,5.024619694
49,5.01276489
49,5.012765074
49,5.008775879
42.5,4.937944619
43.5,5.052540863
