CCC,Execution Time
5.056626165,1
4.93770079,1
5.056923164,1
4.937857059,0
4.937808249,1
5.052601991,0
5.024464278,1
5.012577447,0
5.028201362,0
4.91325784,0
4.977792026,0
5.028701331,0
4.942764356,1
4.942451379,0
4.983256922,0
5.052244426,1
4.978049261,0
4.977808772,1
4.942510217,1
5.023577043,1
4.815694881,1
4.937825955,1
4.942294985,1
5.056784205,1
5.028341755,0
5.052182417,1
5.056764821,1
5.052185424,1
5.023944897,0
5.041242468,0
5.028236376,0
5.052105945,1
5.028156287,1
5.056757875,1
5.024367354,0
5.041083736,0
4.913099162,0
4.928744482,0
5.056989201,0
5.056845176,0
5.023951256,1
5.028555443,1
5.057132651,0
5.019643804,1
5.028229447,0
5.052173819,0
5.056764366,1
5.05219223,1
5.024185028,1
5.028191288,0
4.94239527,1
5.056991264,0
5.056680948,1
5.0284591,1
4.942451569,1
5.052182872,1
5.056632929,0
5.028322371,1
4.977909595,0
5.057124066,0
4.926349394,0
5.056667904,0
5.033611235,0
5.028438678,0
5.028449423,0
4.94239546,1
4.977904967,1
5.028333116,1
4.926212543,0
5.056852517,1
5.056634507,1
5.028105111,0
5.056764366,0
5.056868078,1
5.041372153,1
4.937807772,0
4.937944905,0
5.056764639,1
5.028191288,0
5.056764821,0
5.028298682,1
5.052046427,0
5.056637055,1
5.019643804,0
5.028322828,1
5.056637055,0
5.056900323,1
5.057132651,1
5.023998924,0
5.052182386,1
5.056757875,1
5.05241256,1
5.056865348,0
5.056865014,1
4.913609753,0
5.056755509,0
5.023809478,0
5.023951532,1
5.028267092,1
5.052415294,0
4.977892691,1
5.056990809,0
5.057002973,0
4.937710502,0
5.029701333,1
5.056990809,0
5.056632474,1
5.052014739,1
5.048362463,0
5.052288207,0
5.023611685,0
4.942901867,1
5.057005521,1
5.028191777,1
5.019992737,0
5.056855125,1
5.056658683,1
4.942412471,0
5.04100367,1
4.977772478,1
5.028565456,1
5.056721868,1
5.057123611,1
4.938082546,1
5.056643681,0
5.028690952,0
5.057181761,1
5.028237862,1
5.008408011,0
4.942574704,0
5.057002518,0
5.05686826,0
5.052415021,1
4.942392731,1
5.0520769,1
5.052318102,1
5.056622798,1
5.023587072,1
5.056734154,0
5.028134273,0
5.024075668,1
5.056874448,1
4.94252929,0
4.978046145,0
5.056870535,0
5.056861283,1
5.057133106,1
5.023576585,1
4.942392445,0
5.056732121,1
5.056978038,1
5.05678375,1
4.937575244,0
4.999883155,1
5.05705539,1
5.052273107,1
5.028341694,0
5.028423628,1
5.05677471,1
5.024483663,1
5.057133106,1
5.02855526,1
4.942764229,1
4.999750222,0
5.056873461,1
5.034110228,0
5.057123611,0
4.942532305,1
5.028182693,1
5.028570065,0
4.937947766,1
5.052957541,1
5.052285654,0
5.028210398,1
5.036936585,1
5.05204427,0
5.052172634,1
5.062025773,1
5.056891405,1
5.023945172,1
5.057135654,0
5.056708582,1
4.978048789,1
5.028191471,0
5.056742738,0
4.942764356,1
5.052405967,1
4.942529766,1
4.973804581,0
5.024621528,1
5.056636782,1
5.052831405,1
5.052346358,0
5.028423628,1
4.942574132,0
5.05282225,1
4.961851344,1
5.023488252,1
5.028191013,1
5.056990475,1
4.977788154,1
4.999972823,1
5.056859038,0
4.942392636,1
5.052040624,1
5.056764669,1
5.028322828,1
5.052173363,1
5.056863194,0
4.942783429,1
5.023623549,1
4.972900646,1
4.937944619,0
5.052408641,1
5.056767369,1
5.052960093,1
4.942492254,1
5.057026967,1
4.942764166,0
5.028424086,0
4.973185762,1
5.03004998,1
5.056812415,0
5.056757875,1
4.94853318,0
5.028569791,1
5.056634689,1
5.057123884,0
5.028565914,0
5.056869837,1
4.942554742,0
5.057006037,1
4.942671593,1
5.028434099,1
5.052176371,0
5.023945172,1
5.056667449,1
5.02846893,1
4.93756388,0
5.028690677,1
5.02381917,0
4.937944619,0
4.942392763,0
5.057055511,1
5.024619357,0
5.057046927,0
5.034122364,1
4.973185762,0
5.019624419,0
4.942392731,1
4.973265783,1
4.973269598,1
5.028432206,1
4.905003756,1
5.05713262,1
5.056628713,1
5.052166496,0
5.028200965,1
4.926251165,0
4.937676051,1
4.942764737,1
5.052620726,0
5.028635404,1
5.05216838,1
5.052550706,0
4.942392445,1
5.056872082,0
5.052292217,1
5.028318249,0
5.028210856,0
5.028439136,1
5.052628018,1
4.999837397,1
5.056634233,0
4.937593014,1
5.056867805,1
5.057003169,0
5.028691135,1
5.056637237,1
5.05654032,1
5.028242365,1
5.028221327,0
5.028191013,1
4.973034612,1
5.052550706,1
5.052860622,1
5.01962396,1
5.028565456,1
5.052957541,1
5.023579031,1
4.977811573,1
4.937731132,1
5.057006037,1
4.942392445,1
4.973149725,1
4.948359653,1
5.058501531,0
5.052418697,1
5.023878303,0
5.052086865,1
