CCL,PLC,Attack
236.2377767,231.3985152,0.025407913
287.4567277,274.6573104,0.030455243
287.7540797,274.5535207,0.030887909
294.9545608,276.9596133,0.029589927
286.3974586,273.5135176,0.031320579
286.1308291,269.121364,0.029589927
251.7202925,255.2301917,0.027426737
290.1806525,277.1231414,0.030599465
256.0629641,242.7432122,0.026849913
264.4161996,248.3503912,0.026849913
269.0817545,251.4100094,0.027715153
243.6716949,235.4781482,0.026273103
205.0784243,225.4425598,0.019641075
189.7830734,199.2532673,0.026705709
145.6188759,139.5580627,0.021082562
225.470454,233.3415341,0.019641075
198.9373638,191.9813062,0.027715153
284.4227501,271.4519259,0.030743686
272.0644,262.7278919,0.029013062
244.9983978,255.7067314,0.026849913
257.6510149,246.1288119,0.028436207
299.3432775,276.4032125,0.031032132
262.807471,252.9596179,0.029878364
280.1297622,258.7412002,0.029589927
288.4678881,274.9314923,0.030887909
295.8531305,272.6857484,0.031032132
293.8472742,278.6548206,0.029589927
236.7922597,238.8342249,0.025984702
280.1637573,258.1880153,0.029589927
282.8155869,266.6078565,0.029157277
301.0756281,277.6148493,0.031464804
279.4945053,255.5135418,0.029157277
258.7710365,249.8036331,0.027570945
285.2747301,274.8008527,0.031753254
242.8118192,239.6368955,0.019641075
285.0690141,272.4800096,0.037811094
286.7755876,275.0390911,0.029589927
258.0429241,252.5451176,0.027138324
297.9793286,281.5676892,0.031032132
282.3681953,274.0279971,0.030887909
290.116944,275.4633979,0.030455243
242.8455472,246.2363266,0.026273103
271.7365619,256.0855701,0.028003573
266.408032,253.4591087,0.029878364
237.9542002,240.0847607,0.025119524
258.4353464,242.3488896,0.026417304
246.9710215,239.8063709,0.019641075
285.216335,273.2462672,0.038820792
275.6190753,258.145403,0.029157277
282.8894049,266.5660236,0.029157277
296.2982835,274.6600033,0.031032132
295.2558239,275.5208274,0.031032132
279.0587328,268.2822314,0.029878364
187.7446401,184.5808583,0.02367764
247.1865008,240.7957212,0.026705709
297.7738891,274.6019763,0.030599465
257.9076613,257.2024398,0.027859363
285.5094877,272.9053671,0.030743686
252.3858792,244.6409987,0.026705709
291.0037421,275.1479101,0.030166802
300.7187445,275.9260267,0.030599465
286.2232397,273.9005562,0.029878364
270.9867913,254.3102343,0.028147783
146.5813759,140.3564894,0.021082562
279.0372717,259.1373609,0.029157277
278.873454,268.7452696,0.030311022
248.2730012,240.336769,0.027138324
282.4874059,269.8577818,0.030743686
285.5616049,273.0231937,0.030743686
145.1527294,139.7069591,0.021082562
252.8252875,243.6264389,0.026417304
280.8995718,266.5593912,0.02944571
252.4309867,245.8365675,0.02728253
254.9965574,242.3515738,0.019641075
145.1527294,139.6601532,0.027859363
272.5485471,256.2882744,0.02858042
303.9576719,277.3982562,0.03189748
291.4240952,272.087207,0.030599465
236.7922597,240.2219474,0.025984702
289.3944949,274.9428203,0.029878364
274.0170615,266.4938124,0.029734145
282.2392405,267.6015626,0.029878364
258.2862098,242.3488896,0.019641075
286.1318283,270.9442257,0.036368694
287.6338851,275.7386807,0.02944571
282.4634901,269.7786159,0.030743686
298.3313204,273.6148927,0.031464804
290.4087143,273.962198,0.030887909
137.8502976,136.0997551,0.020650096
296.0334228,281.8790492,0.031032132
280.0933671,265.0198917,0.028724633
288.7994425,273.5785278,0.029589927
246.6528122,243.1707084,0.027570945
277.4683343,266.3114124,0.02944571
298.6843057,278.097145,0.031032132
254.8252267,244.4601619,0.028003573
291.8383693,276.8823365,0.029878364
293.2142883,278.4388392,0.031320579
272.4975077,262.9126057,0.029013062
144.9308111,145.0911792,0.022380044
291.4488194,274.9077672,0.030599465
303.9576719,278.7309337,0.03189748
271.6750805,271.1131419,0.030599465
257.9552405,242.3405105,0.026417304
249.533304,241.8923824,0.027570945
182.7543102,182.8154603,0.022380044
300.7420682,276.3340486,0.031032132
270.4922983,253.9888717,0.028147783
282.0706991,269.113633,0.02944571
