CCC,Execution
3.780954445,0.004162885
5.405051017,0.004499452
4.808823302,0.00387279
3.551047871,0.004098733
5.811466904,0.004750743
5.562005276,0.00408246
4.992756466,0.004148647
5.736308738,0.004659991
5.649482792,0.004520576
5.797160656,0.004767329
5.531742344,0.004229542
5.661191478,0.004704115
5.670428006,0.004704115
5.514881771,0.004556877
5.249959265,0.004083868
5.411567729,0.004391488
5.426229558,0.004263339
5.100374605,0.003878736
5.508137562,0.00454123
4.964152087,0.003859177
5.557227926,0.004562823
5.604394397,0.004547958
4.686826489,0.004050696
4.813884159,0.003796589
5.284737825,0.004049601
4.4631916,0.003718823
5.583692028,0.003872946
5.559102745,0.004129401
5.382704586,0.004678923
5.820968947,0.004828978
5.961667063,0.003921609
5.552086432,0.004041934
5.707820063,0.004547489
4.940188618,0.003916132
5.70394535,0.004411829
5.735335348,0.004739321
5.908120954,0.0046844
5.211836297,0.004197935
5.763255969,0.004693006
5.73031033,0.004603505
5.067653496,0.003935534
5.945469638,0.004840557
5.521496976,0.004193866
5.535903567,0.004543107
5.71866414,0.004574558
5.160220721,0.003928024
4.161597731,0.003731184
4.854884404,0.00371319
6.010250595,0.004698952
5.603534129,0.004557033
5.511591377,0.004526835
5.806616243,0.004245189
5.720501196,0.004556407
5.181273883,0.003923956
5.281221558,0.004301361
5.348683567,0.004240338
5.703760559,0.004207792
4.963513082,0.003931153
5.622427772,0.004221718
5.72450381,0.004374902
5.160228924,0.004179784
4.864381197,0.003930214
5.04787552,0.003781881
5.616535302,0.004049132
5.161856431,0.003883899
5.381893139,0.004411203
4.14491724,0.003724613
6.029940387,0.004511031
5.154522795,0.004374276
4.4631916,0.003752308
4.80470879,0.003704115
5.15174309,0.00373979
5.915025616,0.004667501
5.66375758,0.004196996
5.291064659,0.004509466
5.776710654,0.004401815
5.329694135,0.004560632
2.742398868,0.004007667
5.872939419,0.004522766
5.737521211,0.0045514
5.659344343,0.00407667
5.230859578,0.004543577
5.552801179,0.004511813
5.554288538,0.004526835
4.943663832,0.004049445
2.867495227,0.003999374
5.625666008,0.004523705
5.862351441,0.004400407
5.683921521,0.00439008
5.797578559,0.004976999
5.247928858,0.00430496
5.98603144,0.004706619
4.854409912,0.003913785
5.022959374,0.003989204
5.116490168,0.003778595
5.666773911,0.004041152
4.899906969,0.004472852
5.965022007,0.004863402
5.870344497,0.004720701
4.858728018,0.003854952
5.772945715,0.004587076
5.825319852,0.004560945
5.900992018,0.004545298
5.799729031,0.004833359
5.454823662,0.004337975
5.167325303,0.004228446
5.459158913,0.00471851
5.316104584,0.004545455
5.698364252,0.004525583
5.861024214,0.004560476
5.629831176,0.004534345
5.920542502,0.004747457
5.925029229,0.004674542
5.983308038,0.004846972
5.95407997,0.004875763
5.524394668,0.004262557
4.753206581,0.00422031
5.718667005,0.004627914
5.234227734,0.003946957
5.296207656,0.004245971
5.666648669,0.004609138
5.114254515,0.003793772
5.970192056,0.004768581
4.462923893,0.003765138
5.864066879,0.004333594
5.773630831,0.004838992
5.341537077,0.004194649
5.667036284,0.004712095
4.364476064,0.004590205
4.171644006,0.003694258
5.867408018,0.004768111
3.237798298,0.004438273
5.646335593,0.005158661
5.918567703,0.004796276
3.433851743,0.004202785
5.384578144,0.004044437
5.182173674,0.004788296
5.830968318,0.004791582
5.011051564,0.004411516
4.964556618,0.004985605
5.767906706,0.004478642
5.098952157,0.004257706
5.717121536,0.005153184
2.939828309,0.004471131
5.596600612,0.005209826
5.579779741,0.004763887
5.986171982,0.005317008
5.655972921,0.004266781
4.872756649,0.004457049
5.923400051,0.004519481
